Entity,Code,Year,Age group: 15-24 years of age,Age group: 25-34 years of age,Age group: 35-44 years of age,Age group: 55-64 years,Age group: 75-84 years, Age group: 65-74 years,Age group: 45-54 years,Age group: 85+ years of age
Afghanistan,AFG,2019,4.71,7.6,8.65,9.82,8.47,10.73,9.56,24.46
Albania,ALB,2019,4.67,2.73,4.89,4.71,9.89,3.53,6.16,22.84
Algeria,DZA,2019,3.32,4.11,3.89,2.32,4.35,2.77,2.65,8.34
Angola,AGO,2019,3.7,5.82,8.4,32.1,63.54,47.41,20.49,165.09
Antigua and Barbuda,ATG,2019,0,0,0,3.71,0,0,0,0
Argentina,ARG,2019,11.77,11.14,9.6,10.48,13.91,11.03,9.63,15.83
Armenia,ARM,2019,1.29,1.44,3.23,4.85,13.74,6.61,4.48,27.89
Australia,AUS,2019,11.8,14.36,17.17,16.15,14.51,11.39,18.83,16.05
Austria,AUT,2019,7.77,9.58,14.11,17.24,33,18.1,19.65,34.32
Azerbaijan,AZE,2019,4,4.89,5.42,5.7,10.4,6.82,5.25,23.97
Bahamas,BHS,2019,3.35,5.58,4.95,4.19,6.05,4.78,4.16,11.26
Bahrain,BHR,2019,8.61,13.21,12.1,5.41,11.76,5.32,8.5,30.11
Bangladesh,BGD,2019,4.28,4.41,4.26,4.92,10.27,6.36,5.25,19.53
Barbados,BRB,2019,0,0,0.35,0,3.39,0,0.71,0
Belarus,BLR,2019,7.92,17.8,25.56,30.26,36.15,30.86,31.28,59.58
Belgium,BEL,2019,6.83,13.65,20.74,28.69,29.72,22.25,28.48,33.51
Belize,BLZ,2019,5.36,15.16,9.68,10.53,17.19,13.62,7.84,23.05
Benin,BEN,2019,5.45,8.3,11.17,28.54,56.53,42.61,19.55,126.42
Bhutan,BTN,2019,2.87,4.26,4.91,9.56,25.52,14.25,6.88,39.05
Bolivia,BOL,2019,6.73,5.84,6.89,13.8,17.63,17.33,10.06,18.77
Bosnia and Herzegovina,BIH,2019,6.86,7.64,10.72,14.2,23.79,18.31,12.86,54.59
Botswana,BWA,2019,10.84,14.98,30.61,38.47,49.31,40.49,43.33,94.2
Brazil,BRA,2019,7.61,7.24,8.48,9.43,12.17,10.42,9.24,15.36
Brunei,BRN,2019,0,6.67,5.17,0,13.85,0,3.01,58.52
Bulgaria,BGR,2019,3.68,6.42,7.31,12.58,23.67,15.16,10.57,35.43
Burkina Faso,BFA,2019,5.04,7.85,11.46,34.37,70.02,54.17,21.95,218.2
Burundi,BDI,2019,4.42,5.99,9.4,30.02,59.01,42.37,18.63,130.95
Cambodia,KHM,2019,5.55,6.11,6.24,9.71,12.4,13.77,7.18,21.62
Cameroon,CMR,2019,4.88,9.27,15.15,36.66,69.93,55.71,26.37,212.75
Canada,CAN,2019,11.06,16.29,13.02,15,13.14,10.51,16.09,13.18
Cape Verde,CPV,2019,5.82,10.04,16.77,38.08,55.53,41.2,28.84,95.52
Central African Republic,CAF,2019,6.96,8.34,21.56,65.44,74.37,72.05,51.55,189.83
Chad,TCD,2019,3.79,5.6,10.17,31.38,71.44,51.02,20.55,172.19
Chile,CHL,2019,7.43,10.12,11.79,12.29,13.85,10.71,13.7,14.51
China,CHN,2019,4.26,5.75,6.3,11.36,38.43,19.07,7.38,71.92
Colombia,COL,2019,5.68,4.62,3.86,4.22,8.06,6.47,3.97,11.7
Comoros,COM,2019,4.08,6.2,7.63,17.66,41.32,27.18,11.84,102.71
Congo,COG,2019,3.43,6.03,8.27,30.27,60.75,44.33,17.38,187.01
Costa Rica,CRI,2019,11.01,10.01,10.52,10.62,4.92,4.94,11.79,3.9
Cote d'Ivoire,CIV,2019,4.59,7.96,12.4,36.11,80.5,59.5,23.05,279.94
Croatia,HRV,2019,6.38,8.62,12.26,25.1,38.28,24.63,21.32,62.22
Cuba,CUB,2019,4.76,7.5,11.63,23.35,42.57,27.28,16.26,54.87
Cyprus,CYP,2019,4.04,2.81,4.88,5.59,5.08,3.09,6.17,14.27
Czechia,CZE,2019,8.09,11.16,12.45,17.23,19.85,17.81,14.1,21.28
Democratic Republic of Congo,COD,2019,3.46,5.42,7.96,32.74,63.49,48.19,18.76,151.84
Denmark,DNK,2019,3.97,6.73,9.52,16.58,24.28,14.87,14.17,31.83
Djibouti,DJI,2019,3.39,9,13.74,24.01,56.59,37.83,17.99,129.64
Dominican Republic,DOM,2019,3.85,6.24,6.07,9.42,14.21,11.74,6.7,17.98
East Timor,TLS,2019,5.35,4.98,4.5,6.49,12.88,10.74,5.34,33.81
Ecuador,ECU,2019,13.08,10.53,8.19,8.84,10.55,10.52,7.03,12.64
Egypt,EGY,2019,4.04,4.27,4.33,5.55,5.61,5.7,4.27,10.75
El Salvador,SLV,2019,8.57,7.5,10.98,4.61,7.6,8.73,6.32,13.04
Equatorial Guinea,GNQ,2019,4.55,9.6,10.85,30.07,70.91,47.07,17.87,205.1
Eritrea,ERI,2019,5.1,10.62,16.81,42.5,73.93,56.32,29.58,157.31
Estonia,EST,2019,14.64,12.11,13.48,24.49,21.83,24.39,13.23,33.09
